CHINA,"153,109","11,313","4,132",3,2,66,1 74,84,247,346,448,508,"1 70,432"
HONGKONG,"10,962",751,292,18,1,93,5 2,73,91,36,27,48,"1 2,444"
JAPAN,"50,667","60,583","2 0,424",68,2 8,60,4 46,532,611,874,"1,024","1,347","1 36,664"
KOREA,"206,062","115,943","1 4,751",79,3 2,47,2 02,344,236,323,321,537,"3 38,877"
MACAU,731,35,13,-,-,1,1,-,1,-,6,1,789
TAIWAN,"33,488","12,026","2,846",2,1,3,1 3,31,31,76,57,70,"4 8,644"
BANGLADESH,519,433,192,2,-,-,1 1,2,23,4,15,16,"1 ,217"
INDIA,"14,731","8,408","3,220",82,1 3,47,6 8,512,555,448,361,569,"2 9,014"
IRAN,192,142,33,2,-,-,-,2,12,7,10,11,411
NEPAL,520,267,89,1,-,1,1,8,8,12,9,24,940
PAKISTAN,515,424,194,6,1,1,4,19,36,33,56,51,"1 ,340"
SRI LANKA,463,335,150,4,-,1,8,22,45,21,44,24,"1 ,117"
BAHRAIN,229,231,144,19,3 9,18,2 6,47,48,78,75,140,"1 ,094"
EGYPT,332,272,147,12,2,5,1 3,40,90,91,98,111,"1 ,213"
JORDAN,132,118,57,1,-,1,2,8,22,12,23,21,397
KUWAIT,486,416,121,4,-,-,3,2,35,26,14,64,"1 ,171"
OMAN,213,135,84,4,-,4,2 2,18,24,66,70,60,700
QATAR,132,137,134,56,1 5,-,7,84,148,137,44,93,987
SAUDI ARABIA,"3,451","2,314",682,2,2,11,2 0,34,41,52,144,261,"7 ,014"
UNITED ARAB EMIRATES,533,531,397,4,1 5,3,4 6,138,232,242,148,229,"2 ,518"
CANADA,"27,929","18,900","6,644",17,8,44,9 1,110,175,312,308,735,"5 5,273"
MEXICO,497,265,145,3,1,2,5,12,9,17,10,17,983
USA,"106,444","72,602","2 0,656",110,5 6,415,9 93,954,"1,073","1,843","2,137","4,533","2 11,816"
DENMARK,"2,101","1,882",704,1,-,-,1 7,26,24,30,29,34,"4 ,848"
FINLAND,935,803,310,3,-,2,6,10,9,13,18,26,"2 ,135"
IRELAND,"1,750","1,233",462,1,2,2,3,17,19,21,37,74,"3 ,621"
NORWAY,"1,949","1,676",507,4,1,6,1 4,16,50,55,47,40,"4 ,365"
SWEDEN,"3,173","2,738",877,6,-,3,1 7,15,31,46,28,62,"6 ,996"
UNITED KINGDOM,"18,856","13,313","5,626",78,3 3,88,2 01,191,266,385,367,576,"3 9,980"
GREECE,444,308,169,4,-,-,1 9,106,57,95,71,52,"1 ,325"
ITALY,"4,223","3,227",837,21,8,11,5 4,110,82,137,155,111,"8 ,976"
PORTUGAL,935,666,324,1,1,6,1 3,14,20,31,25,36,"2 ,072"
SPAIN,"4,337","3,485","1,330",13,2,29,3 7,71,70,57,78,112,"9 ,621"
OVERSEAS FILIPINOS*,"14,032","22,829","11,604",21,"4,138",336,"2,138","12,966","3,637","1,804","4,535","6,040","84,080"
